pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,usable_rate,grits_top_valid_only,grits_con_valid_only,grits_top_zero_pen,grits_con_zero_pen,count
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,html,1.0,0.992,1.0,1.0,0.992,0.992,1.0,1.0,0.992,1.0,0.992,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,html,0.9988,0.9954,0.9988,0.9988,0.9954,0.9954,1.0,0.9988,0.9954,0.9988,0.9954,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,html,0.987,0.9504,0.9968,0.9801,0.9582,0.945,1.0,0.987,0.9504,0.987,0.9504,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,markdown,0.9281,0.8815,0.9157,0.9726,0.8724,0.9114,1.0,0.9281,0.8815,0.9281,0.8815,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,markdown,0.996,0.9785,0.9986,0.994,0.9806,0.9768,1.0,0.996,0.9785,0.996,0.9785,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,markdown,1.0,0.9717,1.0,1.0,0.9717,0.9717,1.0,1.0,0.9717,1.0,0.9717,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,markdown,0.9995,0.9924,0.9991,1.0,0.9921,0.9928,1.0,0.9995,0.9924,0.9995,0.9924,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,markdown,0.9991,0.9599,0.9984,1.0,0.9594,0.9604,1.0,0.9991,0.9599,0.9991,0.9599,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,latex,0.8794,0.8924,0.8924,0.8816,0.8922,0.8954,0.933,0.9112,0.9231,0.8501,0.8613,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,latex,0.9942,0.9783,0.9921,0.9975,0.9762,0.9814,0.9595,0.9955,0.9811,0.9551,0.9413,148
