prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
prompt2,LLM,TAMA-QWen3,html,size_detection,43,629,6.8,6.9,47.0
prompt2,LLM,TAMA-QWen3,html,number_of_rows,93,629,14.8,14.8,46.4
prompt2,LLM,TAMA-QWen3,html,number_of_columns,268,629,42.6,42.6,57.1
prompt2,LLM,TAMA-QWen3,html,cell_lookup,8,629,1.3,1.4,37.4
prompt2,LLM,TAMA-QWen3,html,reverse_lookup,17,629,2.7,2.5,29.4
prompt2,LLM,TAMA-QWen3,html,column_retrieval,135,629,21.5,21.5,94.6
prompt2,LLM,TAMA-QWen3,html,row_retrieval,0,629,0.0,0.4,18.6
prompt2,LLM,TAMA-QWen3,html,OVERALL,713,6290,11.3,11.4,48.5
prompt2,LLM,TAMA-QWen3,markdown,table_partition,1,629,0.2,0.9,47.2
prompt2,LLM,TAMA-QWen3,markdown,table_first_cell,66,629,10.5,10.5,71.2
prompt2,LLM,TAMA-QWen3,markdown,table_last_cell,41,629,6.5,6.5,52.5
prompt2,LLM,TAMA-QWen3,markdown,size_detection,0,629,0.0,0.2,38.9
prompt2,LLM,TAMA-QWen3,markdown,number_of_rows,25,629,4.0,4.0,39.0
prompt2,LLM,TAMA-QWen3,markdown,number_of_columns,349,629,55.5,55.5,65.3
prompt2,LLM,TAMA-QWen3,markdown,cell_lookup,1,629,0.2,0.6,29.3
prompt2,LLM,TAMA-QWen3,markdown,reverse_lookup,2,629,0.3,0.3,22.9
prompt2,LLM,TAMA-QWen3,markdown,column_retrieval,163,629,25.9,25.9,90.3
prompt2,LLM,TAMA-QWen3,markdown,row_retrieval,0,176,0.0,1.5,24.6
prompt2,LLM,TAMA-QWen3,markdown,OVERALL,648,5837,11.1,11.3,49.9
prompt2,LLM,TableGPT2-7B,html,table_partition,153,629,24.3,62.2,64.2
prompt2,LLM,TableGPT2-7B,html,table_first_cell,591,629,94.0,94.0,94.0
prompt2,LLM,TableGPT2-7B,html,table_last_cell,407,629,64.7,64.7,65.0
prompt2,LLM,TableGPT2-7B,html,size_detection,190,629,30.2,62.9,63.1
prompt2,LLM,TableGPT2-7B,html,number_of_rows,312,629,49.6,49.6,49.6
prompt2,LLM,TableGPT2-7B,html,number_of_columns,494,629,78.5,78.5,78.5
prompt2,LLM,TableGPT2-7B,html,cell_lookup,11,629,1.7,11.8,12.6
prompt2,LLM,TableGPT2-7B,html,reverse_lookup,164,629,26.1,26.1,26.4
prompt2,LLM,TableGPT2-7B,html,column_retrieval,559,629,88.9,88.9,89.2
prompt2,LLM,TableGPT2-7B,html,row_retrieval,3,629,0.5,0.7,20.5
prompt2,LLM,TableGPT2-7B,html,OVERALL,2884,6290,45.9,53.9,56.3
prompt2,LLM,TableGPT2-7B,markdown,table_partition,35,629,5.6,36.8,39.0
prompt2,LLM,TableGPT2-7B,markdown,table_first_cell,435,629,69.2,69.2,69.2
prompt2,LLM,TableGPT2-7B,markdown,table_last_cell,349,629,55.5,55.5,56.1
prompt2,LLM,TableGPT2-7B,markdown,size_detection,249,629,39.6,62.3,64.1
prompt2,LLM,TableGPT2-7B,markdown,number_of_rows,417,629,66.3,66.3,67.7
prompt2,LLM,TableGPT2-7B,markdown,number_of_columns,241,629,38.3,38.3,50.9
prompt2,LLM,TableGPT2-7B,markdown,cell_lookup,8,629,1.3,10.0,11.7
prompt2,LLM,TableGPT2-7B,markdown,reverse_lookup,115,629,18.3,18.3,19.6
prompt2,LLM,TableGPT2-7B,markdown,column_retrieval,389,629,61.8,61.8,62.2
prompt2,LLM,TableGPT2-7B,markdown,row_retrieval,1,629,0.2,1.3,23.0
prompt2,LLM,TableGPT2-7B,markdown,OVERALL,2239,6290,35.6,42.0,46.3
prompt2,LLM,TableGPT2-7B,latex,table_partition,107,629,17.0,50.3,54.5
prompt2,LLM,TableGPT2-7B,latex,table_first_cell,427,629,67.9,67.9,67.9
prompt2,LLM,TableGPT2-7B,latex,table_last_cell,414,629,65.8,65.8,69.2
prompt2,LLM,TableGPT2-7B,latex,size_detection,100,629,15.9,67.8,68.4
prompt2,LLM,TableGPT2-7B,latex,number_of_rows,248,629,39.4,39.4,41.0
prompt2,LLM,TableGPT2-7B,latex,number_of_columns,622,629,98.9,98.9,99.0
prompt2,LLM,TableGPT2-7B,latex,cell_lookup,5,629,0.8,8.3,10.0
prompt2,LLM,TableGPT2-7B,latex,reverse_lookup,77,629,12.2,12.2,12.6
prompt2,LLM,TableGPT2-7B,latex,column_retrieval,436,629,69.3,69.3,69.6
prompt2,LLM,TableGPT2-7B,latex,row_retrieval,15,629,2.4,3.6,24.1
prompt2,LLM,TableGPT2-7B,latex,OVERALL,2451,6290,39.0,48.4,51.6
