pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,markdown,latex,0.8967,0.838,0.9526,0.869,0.8833,0.8149,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,markdown,latex,0.9976,0.9778,0.9984,0.9971,0.9785,0.9773,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,markdown,latex,1.0,0.9708,1.0,1.0,0.9708,0.9708,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,markdown,latex,0.9996,0.9848,0.9992,1.0,0.9845,0.9852,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,markdown,latex,0.9993,0.9296,0.9999,0.9987,0.9302,0.929,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,html,0.9132,0.8711,0.9267,0.9385,0.8858,0.8847,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,html,0.996,0.985,1.0,0.9927,0.9885,0.982,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,html,1.0,0.992,1.0,1.0,0.992,0.992,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,html,0.9988,0.9954,0.9988,0.9988,0.9954,0.9954,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,html,0.987,0.9504,0.9968,0.9801,0.9582,0.945,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,markdown,0.9281,0.8815,0.9157,0.9726,0.8724,0.9114,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,markdown,0.996,0.9785,0.9986,0.994,0.9806,0.9768,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,markdown,1.0,0.9717,1.0,1.0,0.9717,0.9717,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,markdown,0.9995,0.9924,0.9991,1.0,0.9921,0.9928,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,markdown,0.9991,0.9599,0.9984,1.0,0.9594,0.9604,76
VLM,Qwen3-VL-30B-A3B-Instruct,wikitq,latex,latex,0.8794,0.8924,0.8924,0.8816,0.8922,0.8954,179
VLM,Qwen3-VL-30B-A3B-Instruct,hybridqa,latex,latex,0.9942,0.9783,0.9921,0.9975,0.9762,0.9814,148
VLM,Qwen3-VL-30B-A3B-Instruct,sqa,latex,latex,0.9918,0.9894,0.9857,0.9989,0.9832,0.9967,102
VLM,Qwen3-VL-30B-A3B-Instruct,tabfact,latex,latex,0.9934,0.9822,0.9877,1.0,0.9769,0.9884,124
VLM,Qwen3-VL-30B-A3B-Instruct,feverous,latex,latex,0.9928,0.916,0.9931,0.9937,0.9163,0.9167,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,html,0.9692,0.9607,0.9993,0.958,0.9897,0.9499,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,html,1.0,0.9888,1.0,1.0,0.9888,0.9888,148
VLM,Qwen3-VL-8B-Instruct,sqa,html,html,1.0,0.998,1.0,1.0,0.998,0.998,102
VLM,Qwen3-VL-8B-Instruct,tabfact,html,html,1.0,0.9883,1.0,1.0,0.9883,0.9883,124
VLM,Qwen3-VL-8B-Instruct,feverous,html,html,0.9933,0.9722,0.9974,0.9905,0.9759,0.9697,76
VLM,Qwen3-VL-8B-Instruct,wikitq,html,markdown,0.9893,0.9788,0.9978,0.9856,0.9868,0.9754,179
VLM,Qwen3-VL-8B-Instruct,hybridqa,html,markdown,1.0,0.9888,1.0,1.0,0.9888,0.9888,148
