prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_first_cell,525,629,83.5,83.5,83.6
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_last_cell,352,629,56.0,56.0,56.3
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,size_detection,362,629,57.6,74.6,75.4
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,number_of_rows,475,629,75.5,75.5,75.5
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,number_of_columns,279,629,44.4,44.4,44.4
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,cell_lookup,182,629,28.9,52.0,52.1
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,reverse_lookup,58,629,9.2,9.2,10.5
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,column_retrieval,399,629,63.4,63.4,63.9
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,row_retrieval,9,629,1.4,7.8,18.0
original,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,OVERALL,2788,6290,44.3,52.0,53.6
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_partition,161,629,25.6,61.0,63.0
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_first_cell,574,629,91.3,91.3,91.3
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,table_last_cell,383,629,60.9,60.9,62.0
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,size_detection,286,629,45.5,72.1,72.7
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,number_of_rows,322,629,51.2,51.2,51.2
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,number_of_columns,537,629,85.4,85.4,85.4
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,cell_lookup,178,629,28.3,49.6,49.7
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,reverse_lookup,59,629,9.4,9.4,9.5
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,column_retrieval,421,629,66.9,66.9,67.2
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,row_retrieval,14,629,2.2,8.9,17.8
original,LLM,Qwen3-30B-A3B-Instruct-2507,latex,OVERALL,2935,6290,46.7,55.7,57.0
original,LLM,TAMA-QWen3,html,table_partition,45,629,7.2,8.2,74.7
original,LLM,TAMA-QWen3,html,table_first_cell,305,629,48.5,48.5,84.6
original,LLM,TAMA-QWen3,html,table_last_cell,31,629,4.9,4.9,38.2
original,LLM,TAMA-QWen3,html,size_detection,43,629,6.8,6.9,47.9
original,LLM,TAMA-QWen3,html,number_of_rows,95,629,15.1,15.1,47.9
original,LLM,TAMA-QWen3,html,number_of_columns,278,629,44.2,44.2,58.7
original,LLM,TAMA-QWen3,html,cell_lookup,40,629,6.4,6.7,54.4
original,LLM,TAMA-QWen3,html,reverse_lookup,59,629,9.4,9.4,29.3
original,LLM,TAMA-QWen3,html,column_retrieval,541,629,86.0,86.0,95.9
original,LLM,TAMA-QWen3,html,row_retrieval,4,629,0.6,1.1,26.5
original,LLM,TAMA-QWen3,html,OVERALL,1441,6290,22.9,23.1,55.8
original,LLM,TAMA-QWen3,markdown,table_partition,29,629,4.6,6.0,70.3
original,LLM,TAMA-QWen3,markdown,table_first_cell,239,629,38.0,38.0,82.2
original,LLM,TAMA-QWen3,markdown,table_last_cell,38,629,6.0,6.0,49.1
original,LLM,TAMA-QWen3,markdown,size_detection,0,629,0.0,0.1,39.7
original,LLM,TAMA-QWen3,markdown,number_of_rows,20,629,3.2,3.2,39.4
original,LLM,TAMA-QWen3,markdown,number_of_columns,341,629,54.2,54.2,64.7
original,LLM,TAMA-QWen3,markdown,cell_lookup,11,629,1.7,2.1,46.3
original,LLM,TAMA-QWen3,markdown,reverse_lookup,22,629,3.5,3.5,24.5
original,LLM,TAMA-QWen3,markdown,column_retrieval,526,629,83.6,83.6,95.5
original,LLM,TAMA-QWen3,markdown,row_retrieval,2,629,0.3,2.2,27.3
original,LLM,TAMA-QWen3,markdown,OVERALL,1228,6290,19.5,19.9,53.9
original,LLM,TAMA-QWen3,latex,table_partition,76,629,12.1,13.4,79.1
original,LLM,TAMA-QWen3,latex,table_first_cell,221,629,35.1,35.1,91.6
original,LLM,TAMA-QWen3,latex,table_last_cell,100,629,15.9,15.9,56.6
original,LLM,TAMA-QWen3,latex,size_detection,0,629,0.0,0.0,43.2
original,LLM,TAMA-QWen3,latex,number_of_rows,0,629,0.0,0.0,19.7
original,LLM,TAMA-QWen3,latex,number_of_columns,321,629,51.0,51.0,63.6
original,LLM,TAMA-QWen3,latex,cell_lookup,13,629,2.1,2.7,45.0
original,LLM,TAMA-QWen3,latex,reverse_lookup,13,629,2.1,2.1,25.6
original,LLM,TAMA-QWen3,latex,column_retrieval,373,629,59.3,59.3,95.4
original,LLM,TAMA-QWen3,latex,row_retrieval,1,629,0.2,1.0,30.2
original,LLM,TAMA-QWen3,latex,OVERALL,1118,6290,17.8,18.1,55.0
original,LLM,TableGPT2-7B,html,table_partition,131,629,20.8,55.1,58.1
original,LLM,TableGPT2-7B,html,table_first_cell,592,629,94.1,94.1,94.1
